at,task,kind,who,duration_s,cost_usd,model,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,turns,status
2026-09-06T12:17:21+00:00,-,triage,Rok,13,0.0377,claude-haiku-4-5-20251001,9,795,18140,15109,1,
2026-09-06T12:36:26+00:00,T-26-006,reply,Rok,27,0.1527,"claude-haiku-4-5-20251001,claude-sonnet-5",6,1555,124277,27301,4,open
2026-09-06T12:37:30+00:00,T-26-006,task,Rok,44,0.4545,"claude-haiku-4-5-20251001,claude-opus-5[1m]",12,2462,224095,27760,6,notify
2026-09-06T12:39:28+00:00,T-26-006,reply,Rok,30,0.1594,"claude-haiku-4-5-20251001,claude-sonnet-5",6,1604,126667,28619,3,notify
2026-09-06T12:57:17+00:00,T-26-007,plan,Rok,42,0.1874,"claude-haiku-4-5-20251001,claude-sonnet-5",10,2376,228692,28989,5,ready
2026-09-06T13:02:56+00:00,T-26-007,task,Rok,253,3.3227,"claude-haiku-4-5-20251001,claude-opus-5[1m]",60,14922,3130413,138075,30,notify
2026-09-06T13:16:11+00:00,T-26-007,reply,Rok,19,0.1489,"claude-haiku-4-5-20251001,claude-sonnet-5",4,984,75207,30023,2,notify
2026-09-06T13:31:46+00:00,T-26-008,plan,ROK,331,0.5897,"claude-haiku-4-5-20251001,claude-sonnet-5",36,14901,1130800,53099,18,ready
2026-09-06T13:39:27+00:00,T-26-008,task,ROK,458,2.9558,"claude-haiku-4-5-20251001,claude-opus-5[1m]",70,28760,2621739,92209,35,notify
2026-09-06T13:44:04+00:00,T-26-008,reply,Rok,56,0.2239,"claude-haiku-4-5-20251001,claude-sonnet-5",10,3352,246178,34278,5,notify
2026-09-06T13:44:59+00:00,T-26-008,reply,Rok,9,0.0970,"claude-haiku-4-5-20251001,claude-sonnet-5",2,281,30209,20975,1,notify
2026-09-06T13:45:39+00:00,T-26-009,plan,ROK,84,0.4143,"claude-haiku-4-5-20251001,claude-sonnet-5",34,5471,967841,40976,17,
2026-09-06T13:53:06+00:00,T-26-009,reply,Rok,21,0.1549,"claude-haiku-4-5-20251001,claude-sonnet-5",6,953,127316,29116,3,blocked
2026-09-06T13:56:26+00:00,T-26-009,task,ROK,152,1.1086,"claude-haiku-4-5-20251001,claude-opus-5[1m]",36,7956,888469,46184,18,notify
2026-09-06T14:22:05+00:00,T-26-009,reply,Rok,19,0.1487,"claude-haiku-4-5-20251001,claude-sonnet-5",4,865,75414,30199,2,notify
2026-09-06T14:25:49+00:00,T-26-010,plan,Rok,182,0.6161,"claude-haiku-4-5-20251001,claude-sonnet-5",36,12422,1182976,63295,18,needs-info
2026-09-06T16:32:15+00:00,T-26-010,reply,Rok,73,0.2591,"claude-haiku-4-5-20251001,claude-sonnet-5",12,4689,304457,36858,6,needs-info
2026-09-06T16:37:34+00:00,T-26-010,task,Rok,318,1.9478,"claude-haiku-4-5-20251001,claude-opus-5[1m]",56,19493,1682354,61483,31,needs-info
2026-09-06T16:38:40+00:00,T-26-010,reply,Rok,29,0.1921,"claude-haiku-4-5-20251001,claude-sonnet-5",8,1636,190423,33083,4,needs-info
2026-09-06T16:44:13+00:00,T-26-010,task,Rok,326,2.5414,"claude-haiku-4-5-20251001,claude-opus-5[1m]",76,20192,2531502,76510,38,notify
2026-09-06T17:35:44+00:00,T-26-010,reply,Rok,16,0.1310,"claude-haiku-4-5-20251001,claude-sonnet-5",2,357,24432,29146,1,notify
